date,wau,retained,new,resurrected,churned
05-07-2018,8,4,3,1,-1
05-14-2018,7,5,1,1,-3
05-21-2018,3,1,0,2,-6
05-28-2018,9,3,2,4,0
06-04-2018,7,5,0,2,-4
06-11-2018,6,3,1,2,-4
06-18-2018,7,2,3,2,-4
06-25-2018,7,4,1,2,-3
07-02-2018,3,1,0,2,-6
07-09-2018,6,1,1,4,-2
07-16-2018,5,0,2,3,-6
07-23-2018,5,1,1,3,-4
07-30-2018,7,1,4,2,-4
08-06-2018,8,2,4,2,-5
08-13-2018,9,2,5,2,-6
08-20-2018,3,2,0,1,-7
08-27-2018,7,1,4,2,-2
09-03-2018,3,0,0,3,-7
09-10-2018,6,2,2,2,-1
09-17-2018,7,1,3,3,-5
09-24-2018,5,3,0,2,-4
10-01-2018,8,2,3,3,-3
10-08-2018,7,1,2,4,-7
10-15-2018,3,0,1,2,-7
10-22-2018,4,1,1,2,-2
10-29-2018,7,1,2,4,-3
11-05-2018,9,3,0,6,-4
11-12-2018,8,3,3,2,-6
11-19-2018,6,2,2,2,-6
11-26-2018,5,1,1,3,-5
12-03-2018,5,2,1,2,-3
12-10-2018,6,0,2,4,-5
12-17-2018,5,3,1,1,-3
12-24-2018,5,0,3,2,-5
12-31-2018,9,1,5,3,-4
01-07-2019,14,5,1,8,-4
01-14-2019,10,6,1,3,-8
01-21-2019,9,5,1,3,-5
01-28-2019,8,4,2,2,-5
02-04-2019,8,3,1,4,-5
02-11-2019,14,6,3,5,-2
02-18-2019,5,2,1,2,-12
02-25-2019,12,3,4,5,-2
03-04-2019,10,5,0,5,-7
03-11-2019,6,2,2,2,-8
03-18-2019,8,1,2,5,-5
03-25-2019,9,3,5,1,-5
04-01-2019,5,2,2,1,-7
04-08-2019,4,0,2,2,-5
04-15-2019,8,1,4,3,-3
04-22-2019,5,2,2,1,-6
04-29-2019,5,0,2,3,-5
05-06-2019,4,0,2,2,-5
05-13-2019,3,0,1,2,-4
05-20-2019,5,0,2,3,-3
05-27-2019,8,2,4,2,-3
06-03-2019,2,1,0,1,-7
06-10-2019,3,1,0,2,-1
06-17-2019,25,1,24,0,-2
06-24-2019,49,17,26,6,-8
07-01-2019,22,15,5,2,-34
07-08-2019,30,9,8,13,-13
07-15-2019,36,13,16,7,-17
07-22-2019,31,16,9,6,-20
07-29-2019,31,16,7,8,-15
08-05-2019,26,15,2,9,-16
08-12-2019,32,18,6,8,-8
08-19-2019,27,20,3,4,-12
08-26-2019,27,16,2,9,-11
09-02-2019,29,15,8,6,-12
09-09-2019,28,14,4,10,-15
09-16-2019,35,14,12,9,-14
09-23-2019,31,15,8,8,-20
09-30-2019,23,16,2,5,-15
10-07-2019,27,14,7,6,-9
10-14-2019,32,13,6,13,-14
10-21-2019,31,14,8,9,-18
10-28-2019,28,15,4,9,-16
11-04-2019,35,18,5,12,-10
11-11-2019,36,22,5,9,-13
11-18-2019,22,18,1,3,-18
11-25-2019,22,13,2,7,-9
12-02-2019,29,12,6,11,-10
12-09-2019,32,19,6,7,-10
12-16-2019,25,17,1,7,-15
12-23-2019,14,11,1,2,-14
12-30-2019,15,5,4,6,-9
01-06-2020,30,7,8,15,-8
01-13-2020,32,16,7,9,-14
01-20-2020,29,19,4,6,-13
01-27-2020,28,16,3,9,-13
02-03-2020,31,15,5,11,-13
02-10-2020,36,20,1,15,-11
02-17-2020,34,19,7,8,-17
02-24-2020,35,19,3,13,-15
03-02-2020,37,24,3,10,-11
03-09-2020,39,25,3,11,-12
03-16-2020,40,29,3,8,-10
03-23-2020,39,25,6,8,-15
03-30-2020,35,24,1,10,-15
04-06-2020,42,25,6,11,-10
04-13-2020,41,27,5,9,-15
04-20-2020,37,23,1,13,-18
04-27-2020,35,23,4,8,-14
05-04-2020,45,25,6,14,-10
05-11-2020,30,23,3,4,-22
05-18-2020,44,17,9,18,-13
05-25-2020,42,21,6,15,-23
06-01-2020,59,28,9,22,-14
06-08-2020,50,39,5,6,-20
06-15-2020,43,38,1,4,-12
06-22-2020,37,26,0,11,-17
06-29-2020,34,22,4,8,-15
07-06-2020,48,24,6,18,-10
07-13-2020,50,35,2,13,-13
07-20-2020,42,31,5,6,-19
07-27-2020,43,28,3,12,-14
08-03-2020,35,26,3,6,-17
08-10-2020,42,26,3,13,-9
08-17-2020,41,27,6,8,-15
08-24-2020,47,27,10,10,-14
08-31-2020,36,25,3,8,-22
09-07-2020,38,22,3,13,-14
09-14-2020,40,26,2,12,-12
09-21-2020,37,29,1,7,-11
09-28-2020,49,29,7,13,-8
10-05-2020,40,28,6,6,-21
10-12-2020,35,20,3,12,-20
10-19-2020,24,14,2,8,-21
10-26-2020,28,12,5,11,-12
11-02-2020,27,14,4,9,-14
11-09-2020,27,10,1,16,-17
11-16-2020,26,13,3,10,-14
11-23-2020,12,5,5,2,-21
11-30-2020,33,3,4,26,-9
12-07-2020,30,15,4,11,-18
12-14-2020,28,14,2,12,-16
12-21-2020,20,10,1,9,-18
12-28-2020,21,9,4,8,-11
01-04-2021,32,13,2,17,-8
01-11-2021,25,11,4,10,-21
01-18-2021,38,19,5,14,-6
01-25-2021,40,21,8,11,-17
02-01-2021,41,23,7,11,-17
02-08-2021,30,15,6,9,-26
02-15-2021,31,14,2,15,-16
02-22-2021,39,22,5,12,-9
03-01-2021,31,20,2,9,-19
03-08-2021,34,18,6,10,-13
03-15-2021,36,19,4,13,-15
03-22-2021,31,20,0,11,-16
03-29-2021,32,22,2,8,-9
04-05-2021,29,22,3,4,-10
04-12-2021,25,15,1,9,-14
04-19-2021,26,12,2,12,-13
04-26-2021,34,15,5,14,-11
05-03-2021,28,17,4,7,-17
05-10-2021,28,15,2,11,-13
05-17-2021,25,16,2,7,-12
05-24-2021,33,17,6,10,-8
05-31-2021,34,15,5,14,-18
06-07-2021,26,18,3,5,-16
06-14-2021,29,13,4,12,-13
06-21-2021,26,12,2,12,-17
06-28-2021,32,18,3,11,-8
07-05-2021,30,17,5,8,-15
07-12-2021,37,16,6,15,-14
07-19-2021,33,18,6,9,-19
07-26-2021,30,17,2,11,-16
08-02-2021,29,18,2,9,-12
08-09-2021,34,15,5,14,-14
08-16-2021,25,15,1,9,-19
08-23-2021,26,12,2,12,-13
08-30-2021,36,15,7,14,-11
09-06-2021,32,16,8,8,-20
09-13-2021,39,17,2,20,-15
09-20-2021,32,21,2,9,-18
09-27-2021,30,15,5,10,-17
10-04-2021,36,17,4,15,-13
10-11-2021,31,23,2,6,-13
10-18-2021,37,22,3,12,-9
10-25-2021,42,21,9,12,-16
11-01-2021,35,19,2,14,-23
11-08-2021,32,21,3,8,-14
11-15-2021,46,22,9,15,-10
11-22-2021,29,19,1,9,-27
11-29-2021,35,15,2,18,-14
12-06-2021,41,17,10,14,-18
12-13-2021,36,22,4,10,-19
12-20-2021,28,17,4,7,-19
12-27-2021,8,6,0,2,-22
01-03-2022,18,4,4,10,-4
01-10-2022,27,9,5,13,-9
01-17-2022,18,6,8,4,-21
01-24-2022,23,8,5,10,-10
01-31-2022,25,13,4,8,-10
02-07-2022,35,15,11,9,-10
02-14-2022,22,9,7,6,-26
02-21-2022,32,11,6,15,-11
02-28-2022,38,15,11,12,-17
03-07-2022,35,19,9,7,-19
03-14-2022,30,21,0,9,-14
03-21-2022,35,19,9,7,-11
03-28-2022,34,22,3,9,-13
04-04-2022,37,24,7,6,-10
04-11-2022,37,20,9,8,-17
04-18-2022,45,22,8,15,-15
04-25-2022,55,27,12,16,-18
05-02-2022,58,31,16,11,-24
05-09-2022,50,28,11,11,-30
05-16-2022,47,25,7,15,-25
05-23-2022,36,22,6,8,-25
05-30-2022,42,21,6,15,-15
06-06-2022,44,24,6,14,-18
06-13-2022,52,30,9,13,-14
06-20-2022,41,27,7,7,-25
06-27-2022,59,26,11,22,-15
07-04-2022,54,32,5,17,-27
07-11-2022,63,34,12,17,-20
07-18-2022,70,36,19,15,-27
07-25-2022,80,47,12,21,-23
08-01-2022,78,46,18,14,-34
08-08-2022,87,50,20,17,-28
08-15-2022,91,54,18,19,-33
08-22-2022,90,48,23,19,-43
08-29-2022,85,47,21,17,-43
09-05-2022,83,43,12,28,-42
09-12-2022,80,46,13,21,-37
09-19-2022,90,53,15,22,-27
09-26-2022,70,42,9,19,-48
10-03-2022,78,47,12,19,-23
10-10-2022,70,47,8,15,-31
10-17-2022,69,42,12,15,-28
10-24-2022,65,35,14,16,-34
10-31-2022,83,38,22,23,-27
11-07-2022,52,28,12,12,-55
11-14-2022,54,23,15,16,-29
11-21-2022,48,21,10,17,-33
11-28-2022,58,24,13,21,-24
12-05-2022,60,29,9,22,-29
12-12-2022,60,26,13,21,-34
12-19-2022,43,20,6,17,-40
12-26-2022,25,12,2,11,-31
01-02-2023,45,11,6,28,-14
01-09-2023,70,30,18,22,-15
01-16-2023,58,25,16,17,-45
01-23-2023,63,34,10,19,-24
01-30-2023,56,35,11,10,-28
02-06-2023,56,33,6,17,-23
02-13-2023,58,33,8,17,-23
02-20-2023,48,28,4,16,-30
02-27-2023,54,30,9,15,-18
03-06-2023,64,33,16,15,-21
03-13-2023,65,40,8,17,-24
03-20-2023,52,37,5,10,-28
03-27-2023,52,34,5,13,-18
04-03-2023,57,29,11,17,-23
04-10-2023,57,35,7,15,-22
04-17-2023,53,36,2,15,-21
04-24-2023,59,32,9,18,-21
