date,wau,retained,new,resurrected,churned
12-23-2013,6,5,0,1,-4
12-30-2013,4,3,1,0,-3
01-06-2014,9,3,2,4,-1
01-13-2014,6,3,2,1,-6
01-20-2014,10,5,2,3,-1
01-27-2014,11,6,2,3,-4
02-03-2014,6,5,1,0,-6
02-10-2014,10,4,2,4,-2
02-17-2014,9,5,2,2,-5
02-24-2014,8,5,2,1,-4
03-03-2014,10,4,4,2,-4
03-10-2014,8,5,2,1,-5
03-17-2014,5,4,0,1,-4
03-24-2014,6,3,0,3,-2
03-31-2014,10,5,1,4,-1
04-07-2014,11,8,1,2,-2
04-14-2014,8,8,0,0,-3
04-21-2014,10,8,1,1,0
04-28-2014,7,7,0,0,-3
05-05-2014,7,6,0,1,-1
05-12-2014,9,5,3,1,-2
05-19-2014,7,6,1,0,-3
05-26-2014,11,7,2,2,0
06-02-2014,13,11,1,1,0
06-09-2014,9,9,0,0,-4
06-16-2014,6,6,0,0,-3
06-23-2014,6,5,0,1,-1
06-30-2014,6,6,0,0,0
07-07-2014,7,5,0,2,-1
07-14-2014,8,7,1,0,0
07-21-2014,10,7,0,3,-1
07-28-2014,9,8,1,0,-2
08-04-2014,9,7,2,0,-2
08-11-2014,7,5,0,2,-4
08-18-2014,8,5,1,2,-2
08-25-2014,8,6,0,2,-2
09-01-2014,7,6,0,1,-2
09-08-2014,8,6,0,2,-1
09-15-2014,4,4,0,0,-4
09-22-2014,7,4,0,3,0
09-29-2014,6,6,0,0,-1
10-06-2014,7,6,0,1,0
10-13-2014,8,6,0,2,-1
10-20-2014,7,5,1,1,-3
10-27-2014,9,6,2,1,-1
11-03-2014,8,6,1,1,-3
11-10-2014,7,5,0,2,-3
11-17-2014,5,5,0,0,-2
11-24-2014,6,3,1,2,-2
12-01-2014,8,5,0,3,-1
12-08-2014,10,7,1,2,-1
12-15-2014,9,7,0,2,-3
12-22-2014,1,1,0,0,-8
12-29-2014,3,1,1,1,0
01-05-2015,9,2,2,5,-1
01-12-2015,11,7,0,4,-2
01-19-2015,6,6,0,0,-5
01-26-2015,10,6,3,1,0
02-02-2015,10,7,1,2,-3
02-09-2015,6,6,0,0,-4
02-16-2015,5,5,0,0,-1
02-23-2015,7,5,0,2,0
03-02-2015,6,4,0,2,-3
03-09-2015,5,5,0,0,-1
03-16-2015,8,4,0,4,-1
03-23-2015,8,5,1,2,-3
03-30-2015,7,5,0,2,-3
04-06-2015,7,5,0,2,-2
04-13-2015,4,3,0,1,-4
04-20-2015,4,3,0,1,-1
04-27-2015,7,4,1,2,0
05-04-2015,9,5,1,3,-2
05-11-2015,9,7,1,1,-2
05-18-2015,8,7,1,0,-2
05-25-2015,9,7,0,2,-1
06-01-2015,7,7,0,0,-2
06-08-2015,8,7,1,0,0
06-15-2015,8,6,0,2,-2
06-22-2015,9,7,1,1,-1
06-29-2015,6,3,0,3,-6
07-06-2015,3,2,0,1,-4
